,Men_log,Women_log,Hispanic_scale,White_scale,Black_scale,Native_scale,Asian_scale,Pacific_scale,Construction_log,Production_log,Drive_boxcox,Carpool_boxcox,Walk_boxcox,OtherTransp_boxcox,Income_log,IncomeErr_log,IncomePerCap_log,IncomePerCapErr_log,Poverty_log,ChildPoverty_log,TotalPop_log,MeanCommute_scale
Maine-Washington,9.672437829650821,9.69996278809107,-0.48400727720211584,0.6572896684466378,-0.5719375009774434,0.3828592179856766,-0.2769311723562318,-0.11258977713575608,2.89591193827178,2.617395832834079,10039262185.251886,5.0894469298741765,1.283589060217764,0.5883840329178517,10.547523267314807,7.039660349862076,9.997751730926211,6.876264611890766,2.9496883350525844,3.2068032436339315,10.379442189358636,-0.5676762790123056
Maine-York,11.483239154599868,11.538661435512369,-0.4892052168167348,0.8491836381216996,-0.557928861739114,-0.19629227178964304,-0.04902564117875701,-0.11258977713575608,2.2925347571405443,2.533696813957432,14713102657.005001,4.4325833066344655,0.9616916936713608,0.7129159957715903,10.966800761717183,7.504942068396171,10.3321807867635,6.535241271013659,2.2823823856765264,2.4423470353692043,12.204481380138681,0.8074229493505749
Maryland-Allegany,10.553205175168737,10.470192439043686,-0.4892052168167348,0.5308140975244379,-0.05361784915925219,-0.22387091415989635,-0.12499415157124862,0.023498466999804964,2.1162555148025524,2.580216829592325,18017288858.44237,4.490063313290588,1.187527539804514,0.5513116879186498,10.610315720151938,7.135687347028144,9.98386866448294,6.543911845564792,2.8903717578961645,3.214867803470662,11.205707129744088,-0.46052568978922437
Maryland-Anne Arundel,12.52379883933033,12.544257700155061,-0.21371441724193066,-0.20623319509113908,0.4787104418972686,-0.22387091415989635,0.8625964835311419,0.023498466999804964,2.0541237336955462,1.9740810260220096,15460678599.682755,3.856169338904642,0.9245723099670654,0.7129159957715903,11.40600818262415,7.0967213784947605,10.638400282328542,6.336825731146441,1.7749523509116738,1.9021075263969205,13.227227770013466,1.1467331485569998
Maryland-Baltimore,12.872408595813376,12.979741649738495,-0.32287114914892856,-0.6598007597776484,1.2631942392437203,-0.21008159297476972,1.6602658426523034,-0.11258977713575608,1.9740810260220096,2.128231705849268,14401982737.201426,4.196914590058115,0.8622934989190693,0.6848266081210523,11.113864804535059,6.699500340161678,10.463417576808427,5.7899601708972535,2.2407096892759584,2.4932054526026954,13.620661660678286,1.0395825593339185
Maryland-Calvert,10.703132102290963,10.728079575387694,-0.4008402433682127,0.16447106450841165,0.2755851729414909,-0.22387091415989635,0.0649271244099803,-0.11258977713575608,2.501435951739211,2.0412203288596382,16582813021.519367,4.2567279071581705,0.6031460500405398,0.5513116879186498,11.47031019682888,7.555381944240273,10.57159893662485,6.812345094177479,1.7578579175523736,1.840549633397487,11.408830814433635,3.004010028423748
Maryland-Caroline,9.66997795897274,9.73068058811076,-0.25529793415888224,0.07724653283792914,0.3456283691331383,-0.22387091415989635,-0.2769311723562318,-0.11258977713575608,2.7212954278522306,2.667228206581955,17050089442.7472,3.9196935995923896,0.995851641462913,0.8701017335679802,10.867901559592012,7.699389406256737,10.124348500692786,6.883462586413092,2.760009940032921,3.214867803470662,10.39393698454929,1.7182029577467681
Maryland-Carroll,11.323627630439628,11.346752809915644,-0.4216320018266885,0.6529284418631139,-0.3828208712599953,-0.22387091415989635,0.1788798899987177,-0.11258977713575608,2.341805806147327,2.0541237336955462,20913264771.2982,3.8880235783936055,0.67343992738632,0.42014412825939745,11.35492572032134,7.396335293800808,10.516941964186826,6.8679744089702925,1.7227665977411035,1.9315214116032138,12.028404245988863,2.128946883101915
Maryland-Cecil,10.832576042640143,10.84575787336923,-0.369652605680499,0.465395698771576,-0.14467400420839394,-0.21008159297476972,-0.011041385982511266,-0.11258977713575608,2.379546134130174,2.6100697927420065,17771346672.389027,4.2268985309164755,0.8840266462048618,0.5112199906124424,11.10339209268611,7.6511201757027,10.293432848986255,6.63200177739563,2.312535423847214,2.6602595372658615,11.532335858490052,0.9860072647223777
Maryland-Charles,11.208178613891855,11.27749422831686,-0.31247526991969066,-1.3096235207227431,2.3208465017375968,-0.1411349870491364,0.7866279731386503,0.023498466999804964,2.163323025660538,2.028148247292285,15136540925.181164,4.013628660371672,0.6394741277673885,0.46767368991005126,11.414286751739619,7.497207223203318,10.513497659473217,6.466144724237619,2.066862759472976,2.4159137783010487,11.936584063270358,3.4861876799276144
Maryland-Dorchester,9.651301315769187,9.740497924041666,-0.34886084722202326,-0.46354556351906273,1.3332374354353678,-0.23766023534502304,-0.08700989637500284,-0.11258977713575608,2.424802725718295,2.6741486494265287,15029750116.244019,5.192662285166806,0.8394763500390321,0.83100828002934,10.759879649001931,7.565793282428515,10.235306120475993,7.362010551259734,2.803360380906535,3.349904087274605,10.390040975326398,0.2716700032351669
Maryland-Frederick,11.68719804885051,11.714518462253993,-0.15133914186650338,0.024911813835639493,0.0024167077940657152,-0.21008159297476972,1.1284862699048626,0.023498466999804964,2.186051276738094,1.916922612182061,12103010809.430443,4.687062223055193,0.9047609257072509,0.622799085152153,11.334994256477566,7.501082124259871,10.53073528631916,6.363028103540465,1.916922612182061,2.2300144001592104,12.39409873383424,2.0753715884903734
Maryland-Garrett,9.600014794178023,9.619000370980867,-0.5255907941190674,0.9276857166251338,-0.5649331813582787,-0.22387091415989635,-0.3149154275524776,-0.11258977713575608,2.714694743820879,2.5952547069568657,13796020772.222324,5.037226821582346,0.9245723099670654,0.42014412825939745,10.723971981557268,8.013012110368916,10.140455110443408,7.202661196523238,2.517696472610991,2.9231615807191558,10.302699818978526,0.07522725632618368
Maryland-Harford,11.71011921376187,11.75326432591149,-0.3644546660658801,0.09469143917202526,0.29659813179898514,-0.21008159297476972,0.5967066971574214,-0.11258977713575608,2.151762203259462,2.2300144001592104,18900325764.18798,4.2268985309164755,0.7352522999539252,0.5112199906124424,11.295577586252595,7.050122520269059,10.484193653750324,6.253828811575473,2.0794415416798357,2.4595888418037104,12.425071619938826,1.503901779300605
Maryland-Howard,11.912754721459763,11.950909391441057,-0.24490205492964437,-0.8429722762856615,0.6398097931380579,-0.21008159297476972,5.686596893454357,-0.11258977713575608,1.4816045409242156,1.5686159179138452,16467661241.15248,3.726845619476135,0.6031460500405398,0.5883840329178517,11.610396943847789,7.5822291942764615,10.781120612719405,6.548219102762372,1.6486586255873816,1.840549633397487,12.62516119832862,1.289600600854442
